name,lat,lng
Acalanes Ridge CDP,37.904725,-122.078567
Acampo CDP,38.173529,-121.279892
Acton CDP,34.49607,-118.183897
Adelanto city,34.580902,-117.439458
Adin CDP,41.199312,-120.956779
Agoura Hills city,34.148942,-118.76393
Agua Dulce CDP,34.501678,-118.32068
Aguanga CDP,33.452246,-116.85547
Ahwahnee CDP,37.365423,-119.716561
Airport CDP,37.633883,-120.972006
Alameda city,37.741911,-122.259914
Alamo CDP,37.854768,-122.013557
Albany city,37.89065,-122.318116
Albion CDP,39.225327,-123.757586
Alderpoint CDP,40.161347,-123.615729
Alhambra city,34.083571,-118.136444
Alhambra Valley CDP,37.966744,-122.135998
Aliso Viejo city,33.57921,-117.728898
Alleghany CDP,39.46666,-120.841126
Allendale CDP,38.442986,-121.98333
Allensworth CDP,35.849878,-119.389209
Almanor CDP,40.214494,-121.17622
Alondra Park CDP,33.890155,-118.335678
Alpaugh CDP,35.889037,-119.485809
Alpine CDP,32.842487,-116.755911
Alpine Village CDP,38.779346,-119.807785
Alta CDP,39.215685,-120.798509
Alta Sierra CDP,35.725776,-118.545166
Alta Sierra CDP,39.126174,-121.049085
Altadena CDP,34.192212,-118.135589
Alto CDP,37.905581,-122.518718
Alturas city,41.489136,-120.551286
Alum Rock CDP,37.369408,-121.823809
Amador City city,38.418995,-120.82326
Amador Pines CDP,38.489631,-120.533305
American Canyon city,38.179033,-122.259602
Amesti CDP,36.959483,-121.781739
Anaheim city,33.855502,-117.758657
Anchor Bay CDP,38.812653,-123.570267
Anderson city,40.449755,-122.29507
Angels city,38.071037,-120.551729
Angwin CDP,38.577875,-122.451224
Antelope CDP,38.71533,-121.360962
Antioch city,37.978336,-121.796064
Anza CDP,33.56159,-116.696066
Apple Valley town,34.533376,-117.210358
Aptos CDP,36.99115,-121.893457
Aptos Hills-Larkin Valley CDP,36.963492,-121.835214
Arbuckle CDP,39.014185,-122.061041
Arcadia city,34.132689,-118.036347
Arcata city,40.862291,-124.074967
Arden-Arcade CDP,38.600647,-121.384643
Armona CDP,36.316607,-119.70538
Arnold CDP,38.249049,-120.349327
Aromas CDP,36.874755,-121.630732
Arroyo Grande city,35.124149,-120.584533
Artesia city,33.867591,-118.080634
Artois CDP,39.633179,-122.189758
Arvin city,35.194361,-118.830569
Ashland CDP,37.694197,-122.115937
Aspen Springs CDP,37.548791,-118.699663
Atascadero city,35.485718,-120.687942
Atherton town,37.457072,-122.201058
Atwater city,37.354049,-120.597177
Auberry CDP,37.088654,-119.450757
Auburn city,38.895075,-121.076739
Auburn Lake Trails CDP,38.886238,-120.979699
August CDP,37.979644,-121.26251
Avalon city,33.343335,-118.317615
Avenal city,36.031107,-120.116174
Avery CDP,38.206826,-120.372262
Avila Beach CDP,35.199355,-120.720757
Avocado Heights CDP,34.039039,-117.998167
Azusa city,34.138524,-117.912253
Baker CDP,35.276918,-116.071735
Bakersfield city,35.353171,-119.037919
Bakersfield Country Club CDP,35.389891,-118.940915
Baldwin Park city,34.082824,-117.971286
Ballard CDP,34.639948,-120.110989
Ballico CDP,37.451917,-120.703707
Bangor CDP,39.376087,-121.411654
Banning city,33.945903,-116.899044
Barstow city,34.866987,-117.043035
Bass Lake CDP,37.327282,-119.565326
Bay Point CDP,38.032254,-121.962236
Bayview CDP,38.006234,-122.320165
Bayview CDP,40.76536,-124.178624
Baywood Park CDP,37.529163,-122.341637
Beale AFB CDP,39.108061,-121.351215
Bear Creek CDP,37.296601,-120.417676
Bear Valley CDP,38.472321,-120.051847
Bear Valley CDP,37.57474,-120.136098
Bear Valley Springs CDP,35.178355,-118.669618
Beaumont city,33.876722,-116.953009
Beckwourth CDP,39.843931,-120.414009
Belden CDP,40.006783,-121.248191
Bell city,33.979704,-118.179249
Bell Canyon CDP,34.208148,-118.687574
Bell Gardens city,33.964379,-118.154437
Bella Vista CDP,40.651205,-122.25637
Bellflower city,33.887821,-118.12725
Belmont city,37.514398,-122.294475
Belvedere city,37.873567,-122.470995
Ben Lomond CDP,37.078212,-122.088102
Benbow CDP,40.060267,-123.765381
Bend CDP,40.255092,-122.210916
Benicia city,38.072733,-122.155169
Benton CDP,37.822438,-118.487687
Benton Park CDP,35.346439,-119.029815
Berkeley city,37.865673,-122.298725
Bermuda Dunes CDP,33.74349,-116.287335
Berry Creek CDP,39.631812,-121.405621
Bertsch-Oceanview CDP,41.751727,-124.170214
Bethel Island CDP,38.02813,-121.629851
Beverly Hills city,34.07923,-118.402437
Bieber CDP,41.138451,-121.117006
Big Bear City CDP,34.254118,-116.796378
Big Bear Lake city,34.242888,-116.893893
Big Bend CDP,41.011624,-121.930434
Big Creek CDP,37.203565,-119.248489
Big Lagoon CDP,41.159427,-124.129746
Big Pine CDP,37.165507,-118.296262
Big River CDP,34.139823,-114.362099
Biggs city,39.410187,-121.713322
Biola CDP,36.799938,-120.021038
Bishop city,37.366381,-118.395808
Black Point-Green Point CDP,38.110651,-122.519097
Blackhawk CDP,37.809629,-121.913241
Blacklake CDP,35.049689,-120.538642
Blairsden CDP,39.775205,-120.610845
Bloomfield CDP,38.322069,-122.834464
Bloomington CDP,34.060071,-117.401238
Blue Lake city,40.880993,-123.994912
Bluewater CDP,34.175431,-114.264962
Blythe city,33.65352,-114.621823
Bodega CDP,38.348841,-122.971164
Bodega Bay CDP,38.327472,-123.029926
Bodfish CDP,35.573416,-118.486441
Bolinas CDP,37.917725,-122.709502
Bombay Beach CDP,33.35561,-115.726902
Bonadelle Ranchos CDP,36.968806,-119.892779
Bonita CDP,32.673217,-117.006101
Bonny Doon CDP,37.043577,-122.136972
Bonsall CDP,33.274876,-117.191863
Boonville CDP,39.011474,-123.374043
Bootjack CDP,37.474044,-119.8838
Boron CDP,35.01978,-117.665938
Boronda CDP,36.694632,-121.674512
Borrego Springs CDP,33.240965,-116.357119
Bostonia CDP,32.818985,-116.942264
Boulder Creek CDP,37.134099,-122.127208
Boulevard CDP,32.664022,-116.289601
Bowles CDP,36.608873,-119.752564
Boyes Hot Springs CDP,38.312633,-122.488738
Bradbury city,34.153159,-117.968818
Bradley CDP,35.86284,-120.804268
Brawley city,32.978454,-115.528569
Brea city,33.925178,-117.865111
Brentwood city,37.935578,-121.71897
Bret Harte CDP,37.602078,-121.00438
