team,region,city,postal_code,lat,lng,overridden
4,ca_south,Van Nuys,91406,34.197454,-118.488978,False
8,ca_north,Palo Alto,94301,37.444218,-122.149855,False
22,ca_south,Chatsworth,91311,34.292495,-118.602424,False
100,ca_north,Woodside,94062,37.422531,-122.28582,False
114,ca_north,Los Altos,94022,37.35536,-122.144935,False
115,ca_north,Cupertino,95014,37.308354,-122.081882,False
192,ca_north,Palo Alto,94306,37.4162,-122.130858,False
199,ca_north,Belmont,94002,37.513447,-122.296824,False
207,ca_south,Hawthorne,90250,33.913651,-118.350946,False
253,ca_north,Millbrae,94030,37.59971,-122.4033,False
254,ca_north,San Jose,95126,37.326922,-121.916779,False
256,ca_north,San Jose,95125,37.295599,-121.894071,False
294,ca_south,Redondo Beach,90277,33.830006,-118.387124,False
295,ca_north,Granite Bay,95746,38.746924,-121.166434,False
299,ca_north,Cupertino,95014,37.308354,-122.081882,False
330,ca_south,Hermosa Beach,90254,33.864259,-118.399303,False
362,ca_south,Los Angeles,90049,34.09254,-118.491064,False
399,ca_south,Lancaster,93536,34.73767,-118.387424,False
481,ca_north,San Pablo,94806,37.978427,-122.336418,False
580,ca_south,Studio City,91604,34.140187,-118.394603,False
581,ca_north,San Jose,95116,37.350471,-121.852554,False
585,ca_south,Tehachapi,93561,35.098666,-118.516706,False
589,ca_south,La Crescenta,91214,34.235728,-118.246655,False
597,ca_south,Los Angeles,90018,34.028632,-118.317347,False
599,ca_south,Granada Hills,91344,34.289467,-118.504699,False
604,ca_north,San Jose,95120,37.185746,-121.842738,False
606,ca_south,Los Angeles,90059,33.927469,-118.248796,False
634,ca_south,Van Nuys,91411,34.178517,-118.45963,False
649,ca_north,Saratoga,95070,37.254929,-122.052181,False
668,ca_north,San Jose,95118,37.255364,-121.891912,False
670,ca_north,Cupertino,95014,37.308354,-122.081882,False
675,ca_north,Rohnert Park,94928,38.34593,-122.693507,False
687,ca_south,Carson,90747,33.863785,-118.251354,False
691,ca_south,Stevenson Ranch,91381,34.373221,-118.607971,False
692,ca_north,Sacramento,95819,38.566862,-121.437563,False
696,ca_south,La Crescenta,91214,34.235728,-118.246655,False
701,ca_north,Fairfield,94533,38.280745,-122.00638,False
702,ca_south,Culver City,90230,33.997862,-118.393617,False
751,ca_north,Portola Valley,94028,37.374883,-122.212675,False
766,ca_north,Atherton,94027,37.457072,-122.201058,False
812,ca_south,La Jolla,92093,32.882118,-117.237083,False
814,ca_north,Napa,94559,38.251125,-122.296089,False
840,ca_north,San Mateo,94402,37.540103,-122.330103,False
841,ca_north,Richmond,94804,37.915463,-122.337815,False
846,ca_north,San Jose,95129,37.305958,-122.00072,False
848,ca_south,San Pedro,90732,33.737321,-118.313433,False
852,ca_north,Danville,94506,37.806426,-121.902424,False
867,ca_south,Arcadia,91007,34.128284,-118.047732,False
968,ca_south,West Covina,91791,34.061624,-117.892235,False
971,ca_north,Mountain View,94040,37.380272,-122.085221,False
972,ca_north,Los Gatos,95030,37.221646,-121.983242,False
