team,name,city,postal,region,basis
84,Chuck 84,Towanda,18848,fma,ZIP 188xx -> nearest calibrated 189xx (fma)
104,Team Universal,West Chester,19380,fma,ZIP 193xx cluster (fma 5/st_pa 0)
284,The Crew,Dimock,18816,fma,ZIP 188xx -> nearest calibrated 189xx (fma)
300,AAME,Philadelphia,19139,fma,ZIP 191xx cluster (fma 11/st_pa 0)
398,The Thundering Herd,Ridgway,15853,st_pa,ZIP 158xx cluster (fma 0/st_pa 1)
444,Philly's Extreme Team,Philadelphia,19134,fma,ZIP 191xx cluster (fma 11/st_pa 0)
487,Spartans,Erdenheim,19038,fma,ZIP 190xx cluster (fma 18/st_pa 0)
528,The Persuaders,Lansdale,19446,fma,ZIP 194xx cluster (fma 7/st_pa 0)
563,Thrashers,Phila,19148,fma,ZIP 191xx cluster (fma 11/st_pa 0)
618,E.A.R.T.H. Squad (Edison Achieving Real Technological Heights),Philadelphia,19140,fma,ZIP 191xx cluster (fma 11/st_pa 0)
1113,Urban Assault,Philadelphia,19121,fma,ZIP 191xx cluster (fma 11/st_pa 0)
1185,The X-Bots,Pittsburgh,15213,st_pa,ZIP 152xx cluster (fma 0/st_pa 7)
1394,The Juggernaut,Philadelphia,19106,fma,ZIP 191xx cluster (fma 11/st_pa 0)
1634,Wreckers,Weatherly,18255,fma,ZIP 182xx -> nearest calibrated 184xx (fma)
1656,Angry Scotsmen,Haverford,19041,fma,ZIP 190xx cluster (fma 18/st_pa 0)
1707,NH Indians,Pghp,15229,st_pa,ZIP 152xx cluster (fma 0/st_pa 7)
2223,B-ROC,Philadelphia,19125,fma,ZIP 191xx cluster (fma 11/st_pa 0)
2279,The Butlers,Butler,16001,st_pa,ZIP 160xx cluster (fma 0/st_pa 3)
2280,YWCA DELTA F.O.R.C.E.,Pittsburgh,15208,st_pa,ZIP 152xx cluster (fma 0/st_pa 7)
2558,SciBot,Harrisburg,17101,fma,ZIP 171xx cluster (fma 1/st_pa 0)
2644,Trojans,Pittsburgh,15212,st_pa,ZIP 152xx cluster (fma 0/st_pa 7)
2668,North Montco Vortex,Lansdale,19446,fma,ZIP 194xx cluster (fma 7/st_pa 0)
3108,PR9,pttsburgh,15206,st_pa,ZIP 152xx cluster (fma 0/st_pa 7)
3629,PACERobotics- Philly ALL CITY Engineers,Philadelphia area,19140,fma,ZIP 191xx cluster (fma 11/st_pa 0)
